country,date,value,language
ESTONIA,2015-09,18,Estonian
ITALY,2015-11,16,Italian
LATVIA,2015-09,10,Latvian
LITHUANIA,2015-10,13,Lithuanian
POLAND,2015-01,1,Polish
ESTONIA,2016-08,6,Estonian
ITALY,2016-11,23,Italian
LATVIA,2016-09,3,Latvian
LITHUANIA,2016-11,19,Lithuanian
POLAND,2016-09,20,Polish
ESTONIA,2017-09,3,Estonian
ITALY,2017-10,17,Italian
LATVIA,2017-10,8,Latvian
LITHUANIA,2017-09,30,Lithuanian
POLAND,2017-11,81,Polish
ROMANIA,2017-08,2,Romanian
UKRAINE,2017-12,124,Ukraine
RUSSIA,2017-03,40,Russian
BULGARIA,2018-08,1,Bulgarian
ITALY,2018-09,10,Italian
LATVIA,2018-08,10,Latvian
LITHUANIA,2018-10,51,Lithuanian
POLAND,2018-09,109,Polish
ROMANIA,2018-12,1163,Romanian
UKRAINE,2018-12,105,Ukraine
CHINA,2018-10,32,Chinese
CHINA,2019-03,6,Chinese
CHINA,2019-04,9,Chinese
CHINA,2019-09,4,Chinese
BULGARIA,2019-12,44,Bulgarian
ITALY,2019-01,1,Italian
LATVIA,2019-07,1,Latvian
LITHUANIA,2019-10,19,Lithuanian
POLAND,2019-10,48,Polish
REPUBLIC OF SERBIA,2019-09,18,Serbian
ROMANIA ,2019-12,1724,Romanian
SLOVAKIA,2019-08,11,Slovak
UKRAINE,2019-11,42,Ukraine
BULGARIA,2020-04,17,Bulgarian
GREECE,2020-02,1,Greek
LITHUANIA,2020-04,1,Lithuanian
MOLDOVA,2020-03,1,Romainian
POLAND,2020-04,2,Polish
ROMANIA,2020-04,217,Romanian
UKRAINE,2020-04,5,Ukraine
INDONESIA,2020-02,2000,Indonesian
SOUTH KOREA,2019-09,10,Korean
INDIA,2020-04,100,English
CHINA,2020-03,3,Chinese
