yearmonth,ITALY_N,SOUTH KOREA_N,LATVIA_N,LITHUANIA_N,POLAND_N,ROMANIA_N,UKRAINE_N,CZECH REPUBLIC_N,ESTONIA_N,BELGIUM_N,CHINA_N,INDIA_N
2015-02,21,0.0,0.0,11.0,3,0.0,0.0,0.0,2.0,21.0,0.0,0.0
2015-03,71,0.0,0.0,33.0,10,0.0,0.0,0.0,9.0,6.0,0.0,0.0
2015-04,56,0.0,0.0,12.0,9,0.0,0.0,0.0,5.0,10.0,0.0,0.0
2015-05,7,0.0,0.0,16.0,8,0.0,0.0,0.0,4.0,8.0,0.0,0.0
2015-06,11,0.0,0.0,10.0,6,0.0,3.0,0.0,5.0,3.0,0.0,0.0
2015-07,23,0.0,0.0,37.0,27,0.0,10.0,0.0,254.0,4.0,0.0,0.0
2015-08,6,0.0,0.0,41.0,26,0.0,9.0,0.0,393.0,0.0,0.0,0.0
2015-09,3,0.0,0.0,11.0,23,0.0,2.0,0.0,182.0,7.0,0.0,0.0
2015-10,14,0.0,0.0,5.0,5,3.0,12.0,0.0,65.0,10.0,0.0,0.0
2015-11,14,0.0,0.0,8.0,10,0.0,3.0,0.0,55.0,2.0,0.0,0.0
2015-12,15,0.0,0.0,36.0,9,0.0,4.0,0.0,32.0,0.0,0.0,0.0
2016-01,33,0.0,0.0,17.0,32,0.0,0.0,0.0,60.0,1.0,0.0,0.0
2016-02,61,0.0,0.0,14.0,12,0.0,4.0,0.0,36.0,1.0,0.0,0.0
2016-03,19,0.0,0.0,23.0,17,0.0,9.0,0.0,27.0,5.0,0.0,1.0
2016-04,17,0.0,0.0,4.0,12,0.0,0.0,0.0,45.0,7.0,0.0,0.0
2016-05,12,0.0,0.0,11.0,2,0.0,3.0,0.0,28.0,4.0,0.0,0.0
2016-06,25,0.0,0.0,23.0,26,0.0,4.0,0.0,51.0,16.0,0.0,0.0
2016-07,18,0.0,0.0,42.0,13,0.0,9.0,0.0,180.0,3.0,0.0,0.0
2016-08,37,0.0,0.0,31.0,129,0.0,11.0,0.0,109.0,20.0,0.0,0.0
2016-09,22,0.0,0.0,14.0,83,0.0,14.0,0.0,50.0,1.0,0.0,0.0
2016-10,22,0.0,0.0,11.0,62,0.0,7.0,0.0,43.0,1.0,0.0,0.0
2016-11,40,0.0,0.0,11.0,19,0.0,5.0,0.0,32.0,5.0,0.0,0.0
2016-12,24,0.0,0.0,26.0,17,1.0,4.0,0.0,29.0,0.0,0.0,0.0
2017-01,24,0.0,0.0,19.0,10,0.0,4.0,3.0,21.0,1.0,0.0,0.0
2017-02,23,0.0,0.0,10.0,25,6.0,27.0,0.0,14.0,8.0,0.0,0.0
2017-03,24,0.0,0.0,27.0,14,0.0,13.0,1.0,32.0,9.0,0.0,0.0
2017-04,7,0.0,0.0,0.0,9,0.0,4.0,0.0,11.0,0.0,0.0,0.0
2017-05,20,0.0,0.0,9.0,10,0.0,7.0,0.0,7.0,0.0,0.0,0.0
2017-06,30,0.0,0.0,4.0,26,0.0,3.0,63.0,45.0,3.0,0.0,0.0
2017-07,20,0.0,0.0,43.0,43,0.0,0.0,95.0,100.0,8.0,0.0,0.0
2017-08,7,0.0,0.0,23.0,23,0.0,15.0,69.0,11.0,5.0,0.0,0.0
2017-09,10,0.0,0.0,17.0,42,0.0,3.0,15.0,27.0,0.0,0.0,1.0
2017-10,35,0.0,0.0,15.0,39,0.0,17.0,13.0,21.0,19.0,0.0,0.0
2017-11,1,0.0,0.0,16.0,42,0.0,11.0,50.0,7.0,3.0,0.0,0.0
2017-12,101,0.0,0.0,12.0,64,2.0,3.0,18.0,8.0,6.0,0.0,1.0
2018-01,177,0.0,0.0,8.0,70,0.0,7.0,62.0,17.0,20.0,0.0,1.0
2018-02,130,0.0,0.0,29.0,79,0.0,4.0,14.0,1.0,1.0,0.0,0.0
2018-03,45,0.0,0.0,28.0,80,0.0,2.0,9.0,16.0,13.0,0.0,0.0
2018-04,32,0.0,0.0,9.0,30,0.0,0.0,18.0,2.0,2.0,0.0,0.0
2018-05,71,0.0,0.0,11.0,45,0.0,4.0,4.0,5.0,5.0,0.0,0.0
2018-06,93,0.0,0.0,15.0,50,1.0,3.0,3.0,18.0,3.0,0.0,0.0
2018-07,38,0.0,0.0,16.0,55,1.0,0.0,5.0,15.0,8.0,0.0,0.0
2018-08,24,0.0,0.0,56.0,75,3.0,13.0,1.0,8.0,68.0,0.0,2.0
2018-09,110,4.0,0.0,20.0,58,4.0,5.0,16.0,8.0,396.0,4.0,6.0
2018-10,53,0.0,0.0,24.0,38,0.0,3.0,8.0,8.0,200.0,1.0,0.0
2018-11,54,0.0,0.0,14.0,12,0.0,1.0,1.0,4.0,69.0,2.0,0.0
2018-12,79,1.0,0.0,7.0,17,0.0,1.0,5.0,6.0,87.0,7.0,0.0
2019-01,114,1.0,0.0,43.0,85,2.0,6.0,3.0,12.0,181.0,3.0,4.0
2019-02,34,0.0,0.0,19.0,26,0.0,0.0,3.0,5.0,112.0,2.0,0.0
2019-03,15,0.0,0.0,13.0,24,0.0,5.0,10.0,4.0,82.0,0.0,0.0
