,ITALY_N,SOUTH KOREA_N,LATVIA_N,LITHUANIA_N,POLAND_N,ROMANIA_N,UKRAINE_N,CZECH REPUBLIC_N,ESTONIA_N,BELGIUM_N,CHINA_N,INDIA_N,date
0,2.0,1.0,1.0,1.0,16.0,2.0,22.0,1.0,5.0,28.0,1.0,1.0,2015-02-19
1,2.0,0.0,0.0,25.0,13.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,2015-02-20
2,0.0,0.0,1.0,14.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2015-02-21
3,1.0,0.0,5.0,5.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,0.0,2015-02-22
4,4.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2015-02-23
5,4.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,2015-02-24
6,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2015-02-25
7,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2015-02-26
8,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2015-02-27
9,2.0,0.0,1.0,1.0,4.0,0.0,2.0,0.0,2.0,6.0,0.0,2.0,2015-02-28
10,1.0,1.0,0.0,1.0,1.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,2015-03-01
11,3.0,2.0,2.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,2015-03-02
12,11.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,2015-03-03
13,2.0,6.0,3.0,3.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2015-03-04
14,1.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2015-03-05
15,0.0,0.0,0.0,4.0,7.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,2015-03-06
16,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2015-03-07
17,0.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,2015-03-08
18,5.0,0.0,2.0,3.0,2.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2015-03-09
19,10.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,5.0,2015-03-10
20,12.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2015-03-11
21,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2015-03-12
22,9.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2015-03-13
23,1.0,1.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,2015-03-14
24,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-03-15
25,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2015-03-16
26,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2015-03-17
27,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2015-03-18
28,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2015-03-19
