yearmonth,ITALY_N,SOUTH KOREA_N,LATVIA_N,LITHUANIA_N,POLAND_N,ROMANIA_N,UKRAINE_N,CZECH REPUBLIC_N,ESTONIA_N,BELGIUM_N,CHINA_N,INDIA_N
2015-02,26,1.0,8,52,40,0.0,39,0.0,7.0,48,7,3.0
2015-03,84,15.0,40,53,66,5.0,70,2.0,26.0,33,27,22.0
2015-04,59,1.0,7,17,17,1.0,16,1.0,9.0,17,12,2.0
2015-05,10,2.0,14,25,29,2.0,22,3.0,21.0,14,13,2.0
2015-06,15,12.0,28,107,117,2.0,41,0.0,15.0,13,6,13.0
2015-07,33,28.0,133,133,154,5.0,117,4.0,338.0,27,36,0.0
2015-08,13,20.0,103,120,197,2.0,304,0.0,551.0,12,43,4.0
2015-09,8,16.0,40,66,96,4.0,65,4.0,223.0,97,27,4.0
2015-10,27,1.0,22,29,25,5.0,139,2.0,86.0,11,12,1.0
2015-11,14,4.0,26,17,24,4.0,49,4.0,79.0,8,26,6.0
2015-12,21,9.0,21,43,25,2.0,59,0.0,49.0,6,16,4.0
2016-01,40,12.0,35,28,78,1.0,69,0.0,70.0,12,47,2.0
2016-02,66,0.0,29,42,42,8.0,62,0.0,66.0,26,12,5.0
2016-03,22,3.0,19,27,35,6.0,59,0.0,44.0,27,15,3.0
2016-04,22,6.0,16,27,41,3.0,17,1.0,58.0,15,9,3.0
2016-05,17,1.0,10,13,16,1.0,41,3.0,38.0,7,12,1.0
2016-06,34,9.0,14,47,122,3.0,45,7.0,65.0,21,88,5.0
2016-07,23,9.0,39,122,102,3.0,68,1.0,228.0,11,44,6.0
2016-08,59,13.0,63,151,307,11.0,187,2.0,186.0,38,32,17.0
2016-09,34,8.0,65,79,202,58.0,359,2.0,111.0,37,32,18.0
2016-10,85,6.0,78,75,169,32.0,148,8.0,115.0,31,40,3.0
2016-11,44,13.0,81,82,113,6.0,127,1.0,67.0,17,16,8.0
2016-12,48,9.0,11,33,48,11.0,91,1.0,50.0,4,16,4.0
2017-01,40,1.0,204,76,78,34.0,151,4.0,82.0,12,21,11.0
2017-02,37,10.0,55,66,108,19.0,215,4.0,62.0,30,22,8.0
2017-03,30,12.0,32,55,47,2.0,196,6.0,64.0,16,22,10.0
2017-04,8,8.0,5,6,17,4.0,98,2.0,22.0,5,17,9.0
2017-05,29,6.0,10,23,37,3.0,44,0.0,16.0,21,9,8.0
2017-06,44,6.0,58,71,113,19.0,121,108.0,81.0,16,32,12.0
2017-07,41,23.0,134,161,232,32.0,209,247.0,209.0,34,65,19.0
2017-08,40,8.0,61,70,153,258.0,316,212.0,66.0,29,35,18.0
2017-09,28,33.0,26,35,182,44.0,319,52.0,45.0,68,91,13.0
2017-10,39,8.0,13,21,64,11.0,131,37.0,24.0,33,20,6.0
2017-11,11,10.0,25,32,97,22.0,116,75.0,27.0,13,47,16.0
2017-12,126,41.0,27,70,199,51.0,410,80.0,35.0,32,40,18.0
2018-01,215,16.0,34,100,243,147.0,305,235.0,42.0,144,46,11.0
2018-02,153,19.0,23,82,220,61.0,109,70.0,31.0,41,59,2.0
2018-03,86,33.0,95,108,297,185.0,154,144.0,114.0,52,40,14.0
2018-04,56,30.0,23,35,128,36.0,93,63.0,18.0,19,34,2.0
2018-05,81,6.0,15,27,109,75.0,288,39.0,20.0,46,60,9.0
2018-06,153,39.0,98,102,207,246.0,220,77.0,96.0,51,40,28.0
2018-07,82,24.0,171,198,367,765.0,278,176.0,173.0,183,54,23.0
2018-08,216,329.0,208,193,585,1356.0,357,110.0,140.0,143,1420,111.0
2018-09,205,321.0,250,233,445,1071.0,271,352.0,240.0,1239,1905,56.0
2018-10,85,163.0,106,120,298,270.0,196,121.0,104.0,732,1142,129.0
2018-11,76,57.0,43,48,147,191.0,73,47.0,62.0,262,1109,37.0
2018-12,87,51.0,9,16,143,77.0,105,39.0,10.0,153,895,41.0
2019-01,143,71.0,103,106,753,182.0,140,107.0,52.0,681,1053,33.0
2019-02,76,101.0,36,29,170,144.0,89,60.0,14.0,271,1026,31.0
2019-03,39,132.0,16,16,101,61.0,84,35.0,7.0,189,1238,76.0
2019-04,76,117.0,13,17,94,72.0,98,41.0,19.0,208,1756,90.0
2019-05,163,522.0,152,96,219,103.0,114,65.0,231.0,253,3303,208.0
2019-06,95,1002.0,66,14,229,130.0,144,66.0,45.0,230,2716,187.0
2019-07,150,297.0,77,46,188,548.0,153,153.0,74.0,311,2101,223.0
2019-08,92,122.0,90,52,200,397.0,217,141.0,30.0,278,1917,126.0
2019-09,108,1597.0,109,27,204,234.0,196,105.0,21.0,285,3570,116.0
2019-10,66,994.0,73,39,174,133.0,119,70.0,27.0,346,3078,98.0
2019-11,185,451.0,21,17,209,99.0,52,26.0,31.0,264,2346,106.0
2019-12,115,863.0,31,35,451,133.0,160,36.0,12.0,258,3027,301.0
2020-01,179,325.0,46,38,367,129.0,110,56.0,35.0,254,2148,201.0
2020-02,224,254.0,31,39,145,98.0,75,29.0,25.0,129,1915,121.0
2020-03,217,130.0,8,12,75,24.0,59,16.0,8.0,76,979,108.0
2020-04,127,58.0,9,17,58,17.0,31,5.0,15.0,68,633,117.0
2020-05,18,23.0,1,1,7,1.0,8,0.0,0.0,8,157,75.0
